章,名称,国名,登録基準,特殊遺産,時代・王朝,民族,人,生物,構成資産,建築・絵画の様式,特徴
登録基準,プレア・ビヒア寺院,カンボジア,(ⅰ),,クメール王朝,,スーリヤヴァルマン1世,,,,"ヒンドゥー教の聖地だがのちに仏教寺院として改築された
 登録基準(ⅰ)のみで登録された"
登録基準,タージ・マハル,インド,(ⅰ),,ムガル帝国,,シャー・ジャハーン,,,,"ムムターズ・マハルのための霊廟
 完全な左右対称"
登録基準,シドニーのオペラハウス,オーストラリア,(ⅰ),,,,ヨーン・ウッツォン,,,,ベネロング・ポイントの先端にたつコンサートホール
登録基準,ニース：リヴィエラの冬のリゾート都市,フランス,(ⅱ),,,,,,,,冬の観光に特化した都市として発展してきた
登録基準,パドヴァの14世紀のフレスコ画群,イタリア,(ⅱ),,,,,,スクロヴェーニ礼拝堂,,フレスコ画を保持する8つの建造物群
登録基準,バンチェンの考古遺跡,タイ,(ⅲ),,,,,,,,彩文土器が発見された
登録基準,オネガ湖と白海の岩絵群,ロシア,(ⅲ),,,,,,,,"オネガ湖の岩絵は幾何学的な形が多い
 白海の岩絵は狩猟や航海とその道具動物や人間の足跡が中心"
登録基準,ボローニャのポルティコ群,イタリア,(ⅳ),,,,,,,,公共のための私有財産
登録基準,ゼレナー・ホラにあるネポムークの聖ヨハネ巡礼教会,チェコ,(ⅳ),,,,ヤン・ブラジェイ・サンティーニ,,,,ベネディクト会教会
登録基準,ヘルシングランドの装飾された農夫の家,スウェーデン,(ⅴ),,,,,,,グスタヴィアン様式,亜麻の栽培や森林開拓による富を得た農夫が木造家屋を立て直した
登録基準,フェルテー（ノイジードル）湖の文化的景観,オーストリア、ハンガリー,(ⅴ),文化的景観,,,,,,,"ヨーロッパ最大の塩水湖
 エスターハージ家の宮殿風の館や田舎風の貴族の館が残る"
登録基準,アープラヴァシ・ガート,モーリシャス,(ⅵ),負の遺産,,,,,,,"「移民海岸」や「移民発着所」を指す言葉
 「契約移民労働」の偉大な実験場"
登録基準,バッファロー狩りの断崖,カナダ,(ⅵ),,,ブラックフット族,,,,,5000年以上前続く追い込み猟
登録基準,ウニアンガ湖群,チャド,(ⅶ),,,,,,,,"ウニアンガ・ケビル群最大のヨアン湖は面積約3.5km²深さ約27m
 ウニアンガ・スリ群最大のテリ湖を中心に独自の水文システムがある"
登録基準,九寨溝：歴史的・景観的重要地区,中国,(ⅶ),,,,,,,,"五花海などは石灰岩地層からの湧き水
 ジャイアントパンダの保護区の1つ"
登録基準,オオカバマダラ蝶生物圏保存地域,メキシコ,(ⅶ),,,,,,,,"北米各地から南下してくるオオカバマダラ蝶の越冬地
 4世代にわたる世代交代がある"
登録基準,ステウンスの崖壁,デンマーク,(ⅷ),,,,,,,,"ユカタン半島あたりにチクシュルーブ隕石が衝突
 滅びた動植物の化石が完全な形で残る地層が形成された"
登録基準,レナ石柱自然公園,ロシア,(ⅷ),,カンブリア紀,,,,,,
登録基準,ヒルカニアの森林群,イラン・イスラム,(ⅸ),,,,,ペルシャヒョウ,,,
登録基準,スルツェイ火山島,アイスランド,(ⅸ),,,,,,,,生態系を含む自然環境がどのように変化していくのかを知るのに絶好の情報を提供している
登録基準,ケーン・クラチャーン森林関連遺産群,タイ,(ⅹ),,,,,シャムワニ,,,
登録基準,ゲボル：韓国の干潟,韓国,(ⅹ),,,,,,,,地質条件や海況気候条件が複雑に絡みあい沿岸域の多様な堆積システムにつながった
文化的景観,オルチア渓谷,イタリア,(ⅳ)(ⅵ),文化的景観,シエナ,,,,,,"丘陵や集落を結ぶ道に沿って糸杉が植えられた
 人間による開発が自然の美しさをさらに高めた理想的な例だと評価される"
文化的景観,アル・アハサ・オアシス：進化する文化的景観,サウジアラビア,(ⅲ)(ⅳ)(ⅴ),文化的景観,,,,,,,約250万本ものナツメヤシが生育する世界最大のオアシス
文化的景観,ホルトバージ国立公園：プスタ（大平原）,ハンガリー,(ⅳ)(ⅴ),文化的景観,,,,,,,ドナウ川と支流ティサ川流域に広がるプスタの一角を占める地域
文化的景観,ヴェガエイヤン：ヴェガ群島,ノルウェー,(ⅴ),文化的景観,,,,ケワタガモ,,,
文化的景観,マトボの丘群,ジンバブエ,(ⅲ)(ⅴ)(ⅵ),文化的景観,,,,,,,岩壁や洞窟にはサン族が描いたとされる動物などの壁画も残る
文化的景観,チャン・アンの景観関連遺産群,ベトナム,(ⅴ)(ⅶ)(ⅷ),文化的景観,,,,,,,石灰岩の山や鍾乳洞からなる熱帯カルスト地形が広がる
文化的景観,ライティング・オン・ストーン/アイシナイピ,カナダ,(ⅲ),文化的景観,,,,,,,浸食作用で削り出された円柱状の岩はフードゥーと呼ばれる
