地域,章,名称,国名,登録基準,場所,特殊遺産,時代・王朝,人種・民族,政治家,芸術家,生物,植物,構成資産,構成資産の詳細,美術品,建築・絵画の様式,文化,宗教,バイオーム,特徴
基礎知識,世界遺産条約,世界遺産とは,世界の文化遺産及び自然遺産の保護に関する条約,,,,,,,,,,,,,,,,,"世界遺産リストに記載されている「顕著な普遍的価値（OUV）」を有する自然や生態系保存地域、記念建造物、遺跡である
世界遺産条約では「文化遺産」と「自然遺産」と「複合遺産」が定められているほか、「危機遺産リスト」もつくられている
2014年にボツワナの「オカバンゴ・デルタ」が1000件目の世界遺産になる"
基礎知識,世界遺産条約,世界遺産条約の採択,,,,,,,,,,,,,,,,,,"萩原徹日本政府代表が議長を務めた1972年の第17回UNESCO総会にて11月16日に採択された国際条約
世界遺産基金への支払いを任意にすべきか、義務とするべきかで議論が紛糾した
1973年にアメリカが最初に批准し12月17日に条約が発効した一方で、日本は参加が遅れ1992年6月30日に批准した"
基礎知識,世界遺産条約,世界遺産条約の概要,,,,,,,,,,,,,,,,,,"従来とは異なる新たな破壊の脅威に直面しているだけでなく、各国の保護体制の状況を踏まえ国際的に保護することが採択の背景
文化遺産と自然遺産を1つの条約で保護しようとしている点が非常に重要"
基礎知識,世界遺産条約,世界遺産条約第2章,,,,,,,,,,,,,,,,,,"一義的な義務と責任は遺産を保有する各締約国にあるため、自国の能力や国際的な協力を得て最善を尽くす必要がある
文化遺産と自然遺産に対して社会生活における役割を与えること
立法、行政、財政、技術、学術上で適切な措置をとること
全締約国が遺産の保護に協力することが国際社会全体の義務である"
基礎知識,世界遺産条約,世界遺産条約第3章,,,,,,,,,,,,,,,,,,"世界遺産委員会の設置とそこに諮問機関の代表1人、他の政府間機関やNGOの代表も顧問の資格で出席できる
世界遺産リストに記載するには遺産を保有する国の同意が必要である
2つ以上の国が主権や管轄権を主張する領域にある遺産を登録することが、その紛争におけるいかなる国の権利にも影響を及ぼすものでない
危機にさらされている世界遺産リスト（危機遺産リスト）を作成し公表する
国際的援助の要請があったとき、措置と援助内容等を話し合い世界遺産基金での使い道を決定する
世界遺産基金での使い道を決定する際、委員会に出席して投票する委員国の3分の2の多数による決議で行われる"
基礎知識,世界遺産条約,世界遺産条約第4章,,,,,,,,,,,,,,,,,,"世界遺産基金の設立が定められており、これは世界遺産委員会が決定する目的にのみ使用することができる
世界遺産基金に対する拠出にはいかなる政治的な条件も付けることができない
世界遺産基金への分担拠出金または任意の拠出金の支払いが延滞している締約国は、世界遺産委員会の委員国に選出される資格がない"
基礎知識,世界遺産条約,世界遺産条約第6章,,,,,,,,,,,,,,,,,,締約国が教育や広報事業計画などあらゆる適当な手段を用いて、自国民が文化遺産や自然遺産を評価し、尊重することを強化する
基礎知識,世界遺産条約,世界遺産委員会,,,,,,,,,,,,,,,,,,"世界遺産委員会の議長と書記1名、副議長5名の7名（7カ国）で構成される任期1年のビューロー会議を設置し、会期中に必要なだけ会議を開催する
委員国の任期は6年であるが、公平かつ均等な機会が与えられるように、自発的に4年で任期を終え、連続して再選することの自粛が望ましいとされる
委員国が様々な地域や文化を代表するように、委員国の選出には地域間の公平性も考慮されている
世界遺産リストへの可否について、「登録」「情報照会」「登録延期」「不登録」の4段階がある
世界遺産委員会は「世界遺産条約履行のための戦略的目標（5つのＣ）」を策定しそれに従って審議が行われる
世界遺産リスト記載数の上限は定められていないが、1締約国からの推薦上限を1回の世界遺産委員会につき1件としている
「情報照会」や「登録延期」の決議が出された遺産が再推薦された場合は2件まで推薦することができる
1回の世界遺産委員会での審議数は35件まで
推薦数が35件を超えたときの優先の特徴は、世界遺産保有が少ない国、プレリミナリー・アセスメントを使用した遺産、自然遺産といった点があげられる"
基礎知識,世界遺産条約,世界遺産委員会の役割,,,,,,,,,,,,,,,,,,"暫定リストと締約国から提出された推薦書に基づき、世界遺産リストへの記載の可否を決定する
世界遺産リストに記載された遺産の保全状況を、リアクティブ・モニタリングと定期報告を通じて調査する
世界遺産条約履行のための作業指針の改定と採択を行う"
基礎知識,世界遺産条約,世界遺産の登録,,,,,,,,,,,,,,,,,,"「登録」は世界遺産リストへの記載を認める決議
「情報照会」は次回の世界遺産委員会に推薦書を再提出し、審議を受けることができる
「不登録」は例外邸な場合を除き再推薦が認められていない"
基礎知識,世界遺産条約,5つのC,,,,,,,,,,,,,,,,,,"Creddibility
Conservation
Capacity-building
Communication
Communities"
基礎知識,世界遺産条約,世界遺産条約履行のための作業指針,,,,,,,,,,,,,,,,,,"1977年の第1回世界遺産委員会で採択された
手続きとして世界遺産リストと危機遺産リストの記載やその遺産の保護と保全、世界遺産危機に基づく国際的援助の付与、世界遺産条約を支える国家的・国際的な動員がある
「顕著な普遍的価値」の考え方といった概念的な指針だけでなく、実務的な指針、世界遺産エンブレム使用の規定まで示されている
作業指針の主な対象は世界遺産条約締約国、世界遺産委員会、UNESCOの世界遺産センター、世界遺産委員会の諮問機関、遺産の保護にかかわる関係者である"
基礎知識,世界遺産条約,手続規則,,,,,,,,,,,,,,,,,,"世界遺産委員会に関係する手続規則が細かく定められている
規則の改訂は世界遺産委員会での投票で3分の2の賛成で可決される"
